Client,Website Design,SEO,Email Marketing,Social Media,Logo Design,Influencer Outreach
Aunt Betty’s Biscuits,0,1,0,1,0,1
Bubba’s Bait & Tackle,1,0,0,0,1,0
The Cozy Cup Coffeehouse,0,0,1,0,0,0
Cletus Plumbing & Sons,1,1,0,1,0,0
Grit & Grace Boutique,0,1,1,0,0,0
Big Earl’s BBQ,0,1,0,0,0,1
Daisy’s Dog Grooming,0,0,0,1,1,0
Pine Grove Landscaping,1,0,0,0,1,0
Southern Charm Realty,0,0,1,0,1,0
Sweet Magnolia Day Spa,1,1,0,1,0,0
Howdy Hardware,0,1,0,0,1,0
The Hen House Diner,0,0,1,0,1,0
Peach State Insurance,1,0,1,0,1,0
Mama June’s Antiques,0,1,0,0,0,1
Y’all Yoga Studio,0,0,0,1,0,0
Lucky Horseshoe Western Wear,0,0,1,1,0,0
Whistle Stop Café,0,1,0,0,1,0
Backroad Books & Gifts,1,0,0,0,0,1
The Biscuit Barn,0,1,0,0,0,1
Cotton & Clover Home Décor,0,0,1,0,1,0
Southern Belle Cleaning Co.,0,1,0,1,0,0
Farmhouse Fitness,0,0,1,1,0,0
Red Clay Roofing,1,0,0,0,1,0
Honest Abe’s Auto Repair,0,1,0,0,1,0
Blue Ridge Print & Copy,0,0,1,0,1,1
